Date,Close,Volume,Open,High,Low
09/21/2022,3.467,61533,3.4995,3.516,3.4025
09/20/2022,3.503,47612,3.527,3.5475,3.483
09/19/2022,3.5125,44668,3.5525,3.558,3.4745
09/16/2022,3.5165,59945,3.478,3.544,3.4285
09/15/2022,3.49,57203,3.5175,3.5525,3.4665
09/14/2022,3.5195,55520,3.5315,3.5575,3.5015
09/13/2022,3.5555,82007,3.619,3.6925,3.522
09-12-22,3.6105,51264,3.556,3.6225,3.532
09-09-22,3.568,71651,3.552,3.6285,3.5365
09-08-22,3.527,74382,3.446,3.557,3.442
09-07-22,3.4305,61330,3.46,3.467,3.403
09-06-22,3.462,95683,3.3995,3.5,3.361
09-02-22,3.4135,65091,3.411,3.455,3.3815
09-01-22,3.4065,64617,3.5155,3.5165,3.4035
08/31/2022,3.5185,80023,3.557,3.599,3.4445
08/30/2022,3.551,72590,3.6,3.6355,3.535
08/29/2022,3.6105,49329,3.7,3.701,3.563
08/26/2022,3.697,50263,3.6995,3.7835,3.681
08/25/2022,3.698,33495,3.642,3.708,3.6365
08/24/2022,3.648,34525,3.6825,3.6945,3.625
08/23/2022,3.6915,41409,3.653,3.7245,3.627
08/22/2022,3.6535,32020,3.673,3.6945,3.608
08/19/2022,3.671,28022,3.645,3.6835,3.6125
08/18/2022,3.636,27771,3.5965,3.6705,3.551
08/17/2022,3.59,18692,3.6285,3.655,3.573
08/16/2022,3.6245,50196,3.605,3.6435,3.5825
08/15/2022,3.6175,61313,3.676,3.6785,3.546
08-12-22,3.6685,55260,3.6915,3.713,3.6425
08-11-22,3.7065,67851,3.6355,3.7085,3.634
08-10-22,3.6495,66268,3.5855,3.6575,3.5495
08-09-22,3.5855,51994,3.587,3.6305,3.561
08-08-22,3.5865,61005,3.548,3.6225,3.5315
08-05-22,3.552,66150,3.4735,3.585,3.4735
08-04-22,3.4815,55569,3.477,3.5205,3.416
08-03-22,3.467,54061,3.472,3.5305,3.4465
08-02-22,3.5185,63618,3.535,3.5595,3.4485
08-01-22,3.5425,64152,3.575,3.597,3.512
07/29/2022,3.5735,71089,3.4935,3.5945,3.4605
07/28/2022,3.4745,64501,3.4705,3.5265,3.4515
07/27/2022,3.43,55686,3.3925,3.478,3.368
07/26/2022,3.3845,62914,3.3675,3.4655,3.349
07/25/2022,3.3545,53939,3.323,3.405,3.3135
07/22/2022,3.3495,59717,3.305,3.399,3.2955
07/21/2022,3.2985,53021,3.3135,3.324,3.2505
07/20/2022,3.325,59892,3.2945,3.3755,3.2915
07/19/2022,3.291,54659,3.3155,3.328,3.253
07/18/2022,3.346,60737,3.2465,3.371,3.217
07/15/2022,3.234,75095,3.2285,3.2775,3.1315
07/14/2022,3.2115,69554,3.3105,3.33,3.1745
07/13/2022,3.3225,84522,3.261,3.343,3.2165
07-12-22,3.288,59462,3.4255,3.457,3.2465
07-11-22,3.4305,58609,3.4545,3.494,3.3865
07-08-22,3.522,56309,3.543,3.5715,3.444
07-07-22,3.572,87618,3.441,3.58,3.3965
07-06-22,3.408,79351,3.4265,3.4595,3.273
07-05-22,3.415,105356,3.615,3.6235,3.4
07-01-22,3.604,66572,3.678,3.7025,3.5535
